,Variable,Count,Sum,Mean,Median,Minimum,Maximum
1,contributed_rev,12960,1419365184,109518,29348,0,80197523
2,earned_program_service_rev,12960,1406345728,108514,28813,-15966,100464562
3,total_rev,12960,3124213143,241065,90709,-673653,142481283
4,total_exp,12960,2826553791,218098,86656,-301,145132063
5,gross_rev,12960,3534853471,272751,97215,0,142481283
6,45_of_Gross_max_10m,12960,1493124898.7500095,115210,43746,0.0,10000000.0
7,45_of_Earned_max_10m,12960,597646524.7,46114,12966,-7184.7,10000000.0
8,100_of_Earned_upto_45_Gross_max_10m,12960,910003571.6500021,70216,23750,-15966.0,10000000.0
