,Variable,Count,Sum,Mean,Median,Minimum,Maximum
1,contributed_rev,14597,5615191805,384681,37570,0,148997517
2,earned_program_service_rev,14597,6006922921,411517,38294,-15966,151644052
3,total_rev,14597,12694495652,869664,110161,-673653,319131963
4,total_exp,14597,11601226681,794767,104685,-301,294826839
5,gross_rev,14597,15430354162,1057090,117387,0,495444332
6,45_of_Gross_max_12m,14597,4988352539.999965,341738,52824,0.0,12000000.0
7,45_of_Earned_max_12m,14597,2366662944.5999994,162133,17232,-7184.7,12000000.0
8,100_of_Earned_upto_45_Gross_max_12m,14597,73301344165,5021671,113356,-15966,12000000
