,Variable,Count,Sum,Mean,Median,Minimum,Maximum
1,contributed_rev,10502,1678353859,159812,36727,0,20820491
2,earned_program_service_rev,10502,479061077,45616,293,-250,9277030
3,total_rev,10502,2604168881,247968,80605,-6719117,22429190
4,total_exp,10502,2100326584,199993,70551,-12746,18547228
5,gross_rev,10502,3485822018,331919,95961,-49052,25635421
6,45_of_Gross_max_10m,10502,1564576945.7000058,148978,43182,-22073.4,10000000.0
7,45_of_Earned_max_10m,10502,215577484.64999953,20527,132,-112.5,4174663.5
8,100_of_Earned_upto_45_Gross_max_10m,10502,369268060.94999933,35161,288,-22073.4,4236502.05
