,Variable,Count,Sum,Mean,Median,Minimum,Maximum
1,contributed_rev,11152,2510087999,225079,42234,0,38047791
2,earned_program_service_rev,11152,875735660,78527,1197,-250,42662723
3,total_rev,11152,4104260904,368029,90456,-6719117,42682123
4,total_exp,11152,3288886777,294914,78566,-12746,41621408
5,gross_rev,11152,5623958179,504300,107192,-49052,89406941
6,45_of_Gross_max_10m,11152,2401838713.8500037,215372,48236,-22073.4,10000000.0
7,45_of_Earned_max_10m,11152,381075621.49999905,34171,538,-112.5,10000000.0
8,100_of_Earned_upto_45_Gross_max_10m,11152,652400990.9499987,58500,1192,-22073.4,10000000.0
