,Variable,Count,Sum,Mean,Median,Minimum,Maximum
1,contributed_rev,13614,1819170388,133624,32120,0,80197523
2,earned_program_service_rev,13614,1810788257,133009,32413,-15966,100464562
3,total_rev,13614,3978916783,292266,97637,-673653,142481283
4,total_exp,13614,3586028697,263407,93204,-301,145132063
5,gross_rev,13614,4494234038,330118,104989,0,142481283
6,45_of_Gross_max_10m,13614,1923590040.3000154,141294,47245,0.0,10000000.0
7,45_of_Earned_max_10m,13614,779645662.7500019,57267,14586,-7184.7,10000000.0
8,100_of_Earned_upto_45_Gross_max_10m,13614,1207851590.100001,88721,26236,-15966.0,10000000.0
